match_type,confidence,source_a,source_a_row,source_b,source_b_row,date_a,date_b,amount_a,amount_b,currency_a,currency_b,reference_a,reference_b,description_a,description_b,amount_score,date_score,reference_score,description_score,direction_score,amount_difference,fx_rate,reason,gross_amount,settled_amount,fee_amount,fee_percent,context_score,matched_source_rows,matched_amounts,cluster_total,difference
FUZZY,86.0,ledger_transactions.csv | table=1,0,bank_statement.csv | table=1,4,2024-01-01,2024-01-01,603.77,603.77,INV,,ledg00165,bank00438,debit user john,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,82.0,ledger_transactions.csv | table=1,17,bank_statement.csv | table=1,14,2024-01-03,2024-01-02,511.08,511.08,,,ledg00028,bank00212,debit user john,debit,100.0,66.67,33.33,100.0,100.0,0.0,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,18,bank_statement.csv | table=1,26,2024-01-03,2024-01-03,264.1,264.1,,,ledg00048,bank00012,credit user sara,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,19,bank_statement.csv | table=1,27,2024-01-03,2024-01-03,1559.36,1559.36,,,ledg00410,bank00202,transfer user sara,transfer,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,21,bank_statement.csv | table=1,22,2024-01-03,2024-01-03,1840.51,1840.51,,,ledg00220,bank00235,debit user john,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,22,bank_statement.csv | table=1,24,2024-01-03,2024-01-03,1791.46,1791.46,,,ledg00447,bank00135,debit user sara,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,24,bank_statement.csv | table=1,25,2024-01-03,2024-01-03,370.66,370.65,,,ledg00087,bank00181,debit system auto,debit,100.0,100.0,33.33,100.0,100.0,0.01,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,27,bank_statement.csv | table=1,23,2024-01-03,2024-01-03,1419.28,1419.28,,,ledg00390,bank00041,credit user john,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,82.0,ledger_transactions.csv | table=1,28,bank_statement.csv | table=1,21,2024-01-04,2024-01-03,250.0,250.0,,,ledg00305,bank00273,credit system auto,credit,100.0,66.67,33.33,100.0,100.0,0.0,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,29,bank_statement.csv | table=1,31,2024-01-04,2024-01-04,333.61,333.61,,,ledg00038,bank00071,credit user sara,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,90.0,ledger_transactions.csv | table=1,31,bank_statement.csv | table=1,33,2024-01-04,2024-01-04,1582.13,1582.13,,,ledg00320,bank00326,debit user john,debit,100.0,100.0,44.44,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,82.0,ledger_transactions.csv | table=1,33,bank_statement.csv | table=1,34,2024-01-04,2024-01-05,250.0,250.0,,,ledg00194,bank00137,credit user sara,credit,100.0,66.67,33.33,100.0,100.0,0.0,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,90.0,ledger_transactions.csv | table=1,34,bank_statement.csv | table=1,36,2024-01-05,2024-01-05,368.33,368.33,,,ledg00175,bank00115,debit user sara,debit,100.0,100.0,44.44,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,37,bank_statement.csv | table=1,35,2024-01-05,2024-01-05,250.0,250.0,,,ledg00037,bank00410,credit user john,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,90.0,ledger_transactions.csv | table=1,42,bank_statement.csv | table=1,37,2024-01-06,2024-01-06,1076.84,1076.83,,,ledg00009,bank00069,credit system auto,credit,100.0,100.0,44.44,100.0,100.0,0.01,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,43,bank_statement.csv | table=1,39,2024-01-06,2024-01-06,22.71,22.71,,,ledg00317,bank00412,credit user sara,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,44,bank_statement.csv | table=1,38,2024-01-06,2024-01-06,250.0,250.0,,,ledg00036,bank00334,credit user sara,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,45,bank_statement.csv | table=1,44,2024-01-07,2024-01-07,469.03,469.03,,,ledg00177,bank00374,debit system auto,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,46,bank_statement.csv | table=1,41,2024-01-07,2024-01-07,504.96,504.96,,,ledg00120,bank00043,credit user john,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,90.0,ledger_transactions.csv | table=1,47,bank_statement.csv | table=1,52,2024-01-08,2024-01-08,1270.47,1270.47,,,ledg00161,bank00111,credit system auto,credit,100.0,100.0,44.44,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,48,bank_statement.csv | table=1,47,2024-01-08,2024-01-08,358.99,358.99,,,ledg00387,bank00301,transfer user sara,transfer,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,49,bank_statement.csv | table=1,46,2024-01-08,2024-01-08,500.0,500.0,,,ledg00249,bank00315,debit user sara,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,50,bank_statement.csv | table=1,49,2024-01-08,2024-01-08,1726.1,1726.1,,,ledg00418,bank00106,credit user sara,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,84.0,ledger_transactions.csv | table=1,51,bank_statement.csv | table=1,45,2024-01-08,2024-01-07,1207.85,1207.85,,,ledg00119,bank00118,credit system auto,credit,100.0,66.67,44.44,100.0,100.0,0.0,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,52,bank_statement.csv | table=1,50,2024-01-08,2024-01-08,1172.79,1172.79,,,ledg00230,bank00060,debit system auto,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,53,bank_statement.csv | table=1,48,2024-01-08,2024-01-08,1923.02,1923.02,,,ledg00013,bank00407,transfer user sara,transfer,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,54,bank_statement.csv | table=1,55,2024-01-09,2024-01-09,1210.36,1210.36,,,ledg00077,bank00269,credit user sara,credit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,55,bank_statement.csv | table=1,56,2024-01-09,2024-01-09,250.0,250.0,,,ledg00341,bank00052,debit user john,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,84.71,ledger_transactions.csv | table=1,57,bank_statement.csv | table=1,57,2024-01-09,2024-01-09,51.0,50.0,,,ledg00358,bank00185,debit user john,debit,92.16,100.0,33.33,100.0,100.0,1.0,,amounts are very close; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,58,bank_statement.csv | table=1,53,2024-01-09,2024-01-09,50.0,50.0,,,ledg00242,bank00430,debit user sara,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,59,bank_statement.csv | table=1,59,2024-01-09,2024-01-09,187.52,187.52,,,ledg00135,bank00141,transfer user sara,transfer,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,82.0,ledger_transactions.csv | table=1,61,bank_statement.csv | table=1,54,2024-01-10,2024-01-09,1433.95,1433.95,,,ledg00093,bank00363,debit user john,debit,100.0,66.67,33.33,100.0,100.0,0.0,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,64,bank_statement.csv | table=1,60,2024-01-10,2024-01-10,1123.69,1123.7,,,ledg00133,bank00471,credit user sara,credit,100.0,100.0,33.33,100.0,100.0,0.01,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.71,ledger_transactions.csv | table=1,66,bank_statement.csv | table=1,62,2024-01-11,2024-01-11,51.0,50.0,,,ledg00170,bank00109,transfer user sara,transfer,92.16,100.0,44.44,100.0,100.0,1.0,,amounts are very close; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,82.0,ledger_transactions.csv | table=1,67,bank_statement.csv | table=1,70,2024-01-11,2024-01-12,140.6,140.6,,,ledg00397,bank00431,credit user john,credit,100.0,66.67,33.33,100.0,100.0,0.0,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,68,bank_statement.csv | table=1,66,2024-01-12,2024-01-12,995.89,995.89,,,ledg00254,bank00199,transfer user john,transfer,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,69,bank_statement.csv | table=1,67,2024-01-12,2024-01-12,1743.23,1743.23,,,ledg00064,bank00484,credit system auto,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,70,bank_statement.csv | table=1,69,2024-01-12,2024-01-12,73.29,73.29,,,ledg00310,bank00121,transfer system auto,transfer,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,84.0,ledger_transactions.csv | table=1,71,bank_statement.csv | table=1,64,2024-01-12,2024-01-11,50.0,50.0,,,ledg00211,bank00251,credit user sara,credit,100.0,66.67,44.44,100.0,100.0,0.0,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,72,bank_statement.csv | table=1,72,2024-01-13,2024-01-13,112.75,112.75,,,ledg00004,bank00156,credit system auto,credit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,74,bank_statement.csv | table=1,73,2024-01-13,2024-01-13,1677.27,1677.27,,,ledg00015,bank00372,debit user john,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,76,bank_statement.csv | table=1,76,2024-01-14,2024-01-14,222.09,222.09,,,ledg00252,bank00297,transfer user john,transfer,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,77,bank_statement.csv | table=1,78,2024-01-14,2024-01-14,50.0,50.0,,,ledg00378,bank00139,transfer user sara,transfer,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,78,bank_statement.csv | table=1,77,2024-01-14,2024-01-14,1142.47,1142.47,,,ledg00065,bank00080,debit system auto,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,82.0,ledger_transactions.csv | table=1,80,bank_statement.csv | table=1,71,2024-01-14,2024-01-13,1087.12,1087.12,,,ledg00127,bank00418,credit system auto,credit,100.0,66.67,33.33,100.0,100.0,0.0,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,81,bank_statement.csv | table=1,81,2024-01-15,2024-01-15,50.0,50.0,,,ledg00268,bank00098,credit user sara,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,82,bank_statement.csv | table=1,85,2024-01-15,2024-01-15,484.99,484.99,,,ledg00393,bank00404,credit user john,credit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,83,bank_statement.csv | table=1,79,2024-01-15,2024-01-15,953.19,953.2,,,ledg00336,bank00143,debit user john,debit,100.0,100.0,33.33,100.0,100.0,0.01,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,84,bank_statement.csv | table=1,86,2024-01-15,2024-01-15,1678.58,1678.58,,,ledg00366,bank00033,credit user john,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,85,bank_statement.csv | table=1,82,2024-01-15,2024-01-15,250.0,250.0,,,ledg00421,bank00002,debit system auto,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,86,bank_statement.csv | table=1,83,2024-01-15,2024-01-15,554.08,554.08,,,ledg00247,bank00082,debit user sara,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,87,bank_statement.csv | table=1,92,2024-01-16,2024-01-16,50.0,50.0,,,ledg00108,bank00230,credit system auto,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,85.83,ledger_transactions.csv | table=1,89,bank_statement.csv | table=1,94,2024-01-16,2024-01-16,988.46,987.46,,,ledg00245,bank00381,credit user sara,credit,99.6,100.0,22.22,100.0,100.0,1.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,91,bank_statement.csv | table=1,87,2024-01-16,2024-01-16,409.71,409.71,,,ledg00382,bank00477,credit user john,credit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,92,bank_statement.csv | table=1,88,2024-01-16,2024-01-16,1547.93,1547.92,,,ledg00099,bank00439,credit user sara,credit,100.0,100.0,33.33,100.0,100.0,0.01,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,93,bank_statement.csv | table=1,91,2024-01-16,2024-01-16,222.9,222.89,,,ledg00256,bank00417,transfer user sara,transfer,100.0,100.0,22.22,100.0,100.0,0.01,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,94,bank_statement.csv | table=1,96,2024-01-17,2024-01-17,1000.0,1000.0,,,ledg00286,bank00421,debit user john,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,90.0,ledger_transactions.csv | table=1,95,bank_statement.csv | table=1,97,2024-01-17,2024-01-17,1387.63,1387.63,,,ledg00130,bank00330,debit user sara,debit,100.0,100.0,44.44,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,97,bank_statement.csv | table=1,99,2024-01-17,2024-01-17,1000.0,1000.0,INV,,ledg00407,bank00304,credit user john,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,99,bank_statement.csv | table=1,100,2024-01-18,2024-01-18,842.3,842.3,,,ledg00002,bank00074,credit user john,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,82.67,ledger_transactions.csv | table=1,102,bank_statement.csv | table=1,109,2024-01-18,2024-01-19,500.0,503.97,,,ledg00235,bank00239,credit system auto,credit,96.82,66.67,44.44,100.0,100.0,3.97,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,103,bank_statement.csv | table=1,102,2024-01-18,2024-01-18,1601.71,1601.71,,,ledg00316,bank00286,credit user sara,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,104,bank_statement.csv | table=1,106,2024-01-19,2024-01-19,500.0,500.0,,,ledg00301,bank00423,debit system auto,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,105,bank_statement.csv | table=1,105,2024-01-19,2024-01-19,1000.0,1000.0,,,ledg00166,bank00472,debit user sara,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,106,bank_statement.csv | table=1,110,2024-01-19,2024-01-19,500.0,500.0,,,ledg00094,bank00325,transfer user sara,transfer,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,107,bank_statement.csv | table=1,108,2024-01-19,2024-01-19,1925.67,1925.67,,,ledg00409,bank00270,transfer system auto,transfer,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,90.0,ledger_transactions.csv | table=1,108,bank_statement.csv | table=1,111,2024-01-19,2024-01-19,1864.74,1864.74,INV,,ledg00425,bank00420,debit system auto,debit,100.0,100.0,44.44,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,84.0,ledger_transactions.csv | table=1,109,bank_statement.csv | table=1,101,2024-01-19,2024-01-18,814.93,814.93,,,ledg00436,bank00346,credit user sara,credit,100.0,66.67,44.44,100.0,100.0,0.0,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,111,bank_statement.csv | table=1,104,2024-01-19,2024-01-19,1165.37,1165.37,,,ledg00438,bank00242,debit user sara,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,112,bank_statement.csv | table=1,112,2024-01-20,2024-01-20,50.0,50.0,,,ledg00443,bank00274,debit system auto,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,82.0,ledger_transactions.csv | table=1,113,bank_statement.csv | table=1,107,2024-01-20,2024-01-19,1390.96,1390.96,,,ledg00189,bank00211,transfer user sara,transfer,100.0,66.67,33.33,100.0,100.0,0.0,,amounts align; dates are within window; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,114,bank_statement.csv | table=1,116,2024-01-20,2024-01-20,1205.03,1205.03,,,ledg00214,bank00300,debit user sara,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,116,bank_statement.csv | table=1,113,2024-01-20,2024-01-20,100.0,100.0,,,ledg00007,bank00378,debit user john,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,117,bank_statement.csv | table=1,119,2024-01-21,2024-01-21,500.0,500.0,,,ledg00255,bank00298,credit system auto,credit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,118,bank_statement.csv | table=1,120,2024-01-21,2024-01-21,250.0,250.0,,,ledg00353,bank00005,transfer user john,transfer,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,119,bank_statement.csv | table=1,121,2024-01-21,2024-01-21,100.0,100.0,,,ledg00075,bank00318,debit system auto,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,120,bank_statement.csv | table=1,118,2024-01-21,2024-01-21,874.56,874.56,,,ledg00412,bank00044,debit system auto,debit,100.0,100.0,33.33,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,88.0,ledger_transactions.csv | table=1,123,bank_statement.csv | table=1,122,2024-01-22,2024-01-22,1899.13,1899.12,,,ledg00416,bank00310,transfer user john,transfer,100.0,100.0,33.33,100.0,100.0,0.01,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,124,bank_statement.csv | table=1,126,2024-01-22,2024-01-22,1564.78,1564.78,,,ledg00114,bank00026,debit system auto,debit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
FUZZY,86.0,ledger_transactions.csv | table=1,125,bank_statement.csv | table=1,131,2024-01-23,2024-01-23,1215.49,1215.49,,,ledg00239,bank00151,credit user sara,credit,100.0,100.0,22.22,100.0,100.0,0.0,,amounts align; dates align; descriptions strongly match.,,,,,,,,,
